##name	DOD Joint Acronyms and Abbreviations
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Department of Defense (DOD), Joint Doctrine Division
##copyright	Source: U.S. Department of Defense, <a href="http://www.dtic.mil/doctrine/index.html">Joint Doctrine Division</a>. ( <a href="bword://About the DOD Joint Acronyms and Abbreviations">About</a> )
##description	The <b>DOD Joint Acronyms and Abbreviations</b> contains a listing of current abbreviations and acronyms in\ncommon use within the Department of Defense. This is by no means a complete list of DOD abbreviations and acronyms. Rather, <b>it serves as a guide to current DOD usage in abbreviations and acronyms</b>.\n<p>The Joint Acronyms and Abbreviations master data base is  managed by the Joint Doctrine Division, J-7, Joint Staff. All approved joint definitions are contained in Joint Publication 1-02, "DOD Dictionary of Military and Associated Terms." <b>  As amended through 17 October 2007</b>.</p>\n<p>The <b>Joint Acronyms and Abbreviations</b> holds more than 6000 entries. </p>
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2008/03/20, 09:33
##bgl_middleUpdated	2008/03/25, 09:22
##bgl_lastUpdated	2008/03/25, 09:22
.NL.	not less than <br>
AZR	assign zone restriction lists <br>
About the DOD Joint Acronyms and Abbreviations	The <b>DOD Joint Acronyms and Abbreviations</b> contains a listing of current abbreviations and acronyms in\ncommon use within the Department of Defense. This is by no means a complete list of DOD abbreviations and acronyms. Rather, <b>it serves as a guide to current DOD usage in abbreviations and acronyms</b>.\n<p>The Joint Acronyms and Abbreviations master data base is  managed by the Joint Doctrine Division, J-7, Joint Staff. All approved joint definitions are contained in Joint Publication 1-02, "DOD Dictionary of Military and Associated Terms." <b>  As amended through 17 October 2007</b>.</p>\n<p>The DOD list of <b>Joint Acronyms and Abbreviations</b> holds more than 6000 entries. </p><br>
At	total attainable search area <br>
B	cross-over barrier pattern <br>
B&A	boat and aircraft <br>
B-52	Stratofortress   <br>
B/B	baseband   <br>
BAF	backup alert force <br>
BAG	baggage   <br>
BAH	basic allowance for housing <br>
BAI	backup aircraft inventory; battlefield air interdiction <br>
BAS	basic allowance for subsistence; battalion aid station   <br>
BATF	Bureau of Alcohol, Tobacco, and Firearms <br>
BB	breakbulk   <br>
BBL	barrel (42 US gallons) <br>
BC	bottom current  <br>
BCA	border crossing authority <br>
BCAT	beddown capability assessment tool <br>
BCD	battlefield coordination detachment <br>
BCI	bit count integrity <br>
BCN	beacon   <br>
BCOC	base cluster operations center <br>
BCR	baseline change request <br>
BCT	brigade combat team <br>
BCTP	battle command training program <br>
BCU	beach clearance unit <br>
BDA	battle damage assessment <br>
BDAREP	battle damage assessment report <br>
BDC	blood donor center <br>
BDE	brigade   <br>
BDL	beach discharge lighter <br>
BDOC	base defense operations center <br>
BDR	battle damage repair <br>
BDRP	Biological Defense Research Program <br>
BDZ	base defense zone <br>
BE	basic encyclopedia  <br>
BE	number basic encyclopedia number <br>
BEAR	base expeditionary airfield resources <br>
BEE	bioenvironmental engineering officer <br>
BEN	base encyclopedia number <br>
BER	bit error ratio <br>
BES	budget estimate submission <br>
BGC	boat group commander <br>
BHR	Bureau of Humanitarian Response <br>
BI	battlefield injury  <br>
BIA	Bureau of Indian Affairs <br>
BIAS	Battlefield Illumination Assistance System <br>
BIDDS	Base Information Digital Distribution System  <br>
BIDE	basic identity data element <br>
BIFC	Boise Interagency Fire Center <br>
BIH	International Time Bureau (Bureau International d’l’Heure) <br>
BII	base information infrastructure <br>
BINM	Bureau of International Narcotics Matters  <br>
BIO	biological; Bureau of International Organizations  <br>
BISS	base installation security system <br>
BIT	built-in test  <br>
BITE	built-in test equipment <br>
BIU	beach interface unit <br>
BKA	Bundeskriminalamt (federal criminal office) <br>
BL	biocontainment level  <br>
BLCP	beach lighterage control point <br>
BLDREP	blood report  <br>
BLDSHIPREP	blood shipment report <br>
BLM	Bureau of Land Management <br>
BLOS	beyond line of sight <br>
BLS	beach landing site <br>
BLT	battalion landing team <br>
BM	ballistic missile; battle management; beachmaster  <br>
BMC4I	Battle Management Command, Control, Communications, Computers, and Intelligence  <br>
BMCT	begin morning civil twilight <br>
BMD	ballistic missile defense <br>
BMDO	Ballistic Missile Defense Organization <br>
BMET	biomedical equipment technician <br>
BMEWS	ballistic missile early warning system  <br>
BMNT	begin morning nautical twilight <br>
BMU	beachmaster unit  <br>
BN	battalion   <br>
BND	Bundesnachrichtendienst (federal intelligence service) <br>
BOA	basic ordering agreement <br>
BOC	base operations center <br>
BOCCA	Bureau of Coordination of Civil Aircraft (NATO)   <br>
BOG	beach operations group <br>
BOH	bottom of hill <br>
BORFIC	Border Patrol Field Intelligence Center  <br>
BOS	base operating support; battlefield operating system <br>
BOSG	base operations support group <br>
BOSS	base operating support service <br>
BP	battle position; block parity <br>
BPA	blanket purchase agreement <br>
BPD	blood products depot <br>
BPG	beach party group <br>
BPI	bits per inch <br>
BPO	blood program office <br>
BPPBS	bi-annual planning, programming, and budget system <br>
BPSK	biphase shift keying <br>
BPT	beach party team <br>
BPWRR	bulk petroleum war reserve requirement  <br>
BPWRS	bulk petroleum war reserve stocks  <br>
BR	budget review  <br>
BRAC	base realignment and closure <br>
BRACE	Base Resource and Capability Estimator  <br>
BRC	base recovery course <br>
BS	battle staff; broadcast source <br>
BSA	beach support area; brigade support area <br>
BSC	black station clock <br>
BSC	ro black station clock receive out <br>
BSCT	behavioral science consultation team <br>
BSD	blood supply detachment <br>
BSI	base support installation <br>
BSP	base support plan <br>
BSSG	brigade service support group <br>
BSU	blood supply unit <br>
BT	bathythermograph   <br>
BTB	believed-to-be   <br>
BTC	blood transshipment center <br>
BTG	basic target graphic <br>
BTOC	battalion tactical operations center <br>
BTS	Border and Transportation Security (DHS)  <br>
BTU	beach termination unit <br>
BULK	bulk cargo  <br>
BUMEDINST	Bureau of Medicine and Surgery instruction <br>
BVR	beyond visual range <br>
BW	bandwidth; biological warfare; biological weapon  <br>
BWC	Biological Weapons Convention <br>
BZ	buffer zone  <br>
BfV	Bundesamt f?r Verfassungsschutz (federal office for defending the Constitution) <br>
C	centigrade; clock; compromise band; coverage factor; creeping line pattern <br>
C	di conditioned diphase <br>
C&A	certification and accreditation <br>
C&E	communications and electronics <br>
C&LAT	cargo and loading analysis table  <br>
C-130	Hercules   <br>
C-141	Starlifter   <br>
C-17	Globemaster III  <br>
C-21	Learjet   <br>
C-27	Spartan   <br>
C-2X	coalition Intelligence Directorate counterintelligence and human intelligence staff element <br>
C-5	Galaxy   <br>
C-B	chemical-biological   <br>
C-CS	communication and computer systems <br>
C-E	communications-electronics   <br>
C-JWICS	Containerized Joint Worldwide Intelligence Communications System <br>
C-day	unnamed day on which a deployment operation begins  <br>
C-level	category level  <br>
C/A	course acquisition  <br>
C/C	cabin cruiser; cast off and clear <br>
C2	command and control <br>
C2-attack	an offensive form of command and control warfare  <br>
C2-protect	a defensive form of command and control warfare  <br>
C2E	command and control element <br>
C2IP	Command and Control Initiatives Program  <br>
C2IPS	Command and Control Information Processing System <br>
C2P	command and control protection <br>
C2S	command and control support <br>
C3	command, control, and communications <br>
C3AG	Command, Control, and Communications Advisory Group <br>
C3CM	command, control, and communications countermeasures  <br>
C3I	command, control, communications, and intelligence  <br>
C3IC	coalition coordination, communications, and integration center <br>
C3SMP	Command, Control, and Communications Systems Master Plan   <br>
C4	systems command, control, communications, and computer systems   <br>
C4CM	command, control, communications, and computer countermeasures <br>
C4I	command, control, communications, computers, and intelligence <br>
C4IFTW	command, control, communications, computers, and intelligence for the Warrior <br>
C4ISR	command, control, communications, computers, intelligence, surveillance, and reconnaissance  <br>
C4S	command, control, communications, and computer systems <br>
CA	civil administration; civil affairs; combat assessment <br>
CAA	civil air augmentation; combat aviation advisors; command arrangement agreement <br>
CAB	combat aviation brigade <br>
CAC	common access card; current actions center <br>
CACOM	Civil Affairs command <br>
CACTIS	community automated intelligence system <br>
CAD	Canadian Air Division; cartridge actuated device; collective address designator <br>
CADRS	concern and deficiency reporting system  <br>
CADS	containerized ammunition distribution system <br>
CAE	command assessment element <br>
CAF	Canadian Air Force; combat air forces; commander, airborne/air assault force <br>
CAFMS	computer-assisted force management system <br>
CAG	carrier air group; civil affairs group; collective address group <br>
CAIMS	conventional ammunition integrated management system  <br>
CAINS	carrier aircraft inertial navigation system  <br>
CAL	caliber; critical asset list <br>
CALA	Community Airborne Library Architecture <br>
CALCM	conventional air-launched cruise missile <br>
CALICS	communication, authentication, location, intentions, condition, and situation   <br>
CALMS	computer-aided load manifesting system <br>
CAM	chemical agent monitor; crisis action module <br>
CAMPS	Consolidated Air Mobility Planning System  <br>
CAMT	countering air and missile threats  <br>
CANA	convulsant antidote for nerve agent  <br>
CANADA	COM Canada Command <br>
CANR	Canadian North American Aerospace Defense Command Region   <br>
CANUS	Canada-United States  <br>
CAO	chief administrative officer; civil affairs operations; counterair operation<br>
CAO	SOP standing operating procedures for coordination of atomic operations <br>
CAOC	combat air operations center; combined air operations center  <br>
CAP	Civil Air Patrol; civil augmentation program; combat air patrol; configuration and alarm panel; Consolidated Appeals Process (UN); crisis action planning<br>
CAR	Chief of the Army Reserve  <br>
CARDA	continental United States airborne reconnaissance for damage assessment; continental United States area reconnaissance for damage assessment    <br>
CARE	Cooperative for Assistance and Relief Everywhere (CAREUSA)   <br>
CARIBROC	Caribbean Regional Operations Center <br>
CARP	computed air release point; contingency alternate route plan  <br>
CARS	combat arms regimental system <br>
CARVER	criticality, accessibility, recuperability, vulnerability, effect, and recognizability   <br>
CAS	casualty; civil aviation security; close air support   <br>
CASEVAC	casualty evacuation  <br>
CASF	contingency aeromedical staging facility <br>
CASP	computer-aided search planning <br>
CASPER	contact area summary position report  <br>
CASREP	casualty report  <br>
CASREQ	close air support request <br>
CAT	category; crisis action team <br>
CATCC	carrier air traffic control center  <br>
CATF	commander, amphibious task force <br>
CAU	crypto ancillary unit; cryptographic auxiliary unit <br>
CAVU	ceiling and visibility unlimited <br>
CAW	carrier air wing <br>
CAW/ESS	crisis action weather and environmental support system   <br>
CAX	computer-assisted exercise  <br>
CB	chemical-biological; construction battalion (SEABEES) <br>
CBBLS	hundreds of barrels <br>
CBD	chemical, biological defense <br>
CBFS	cesium beam frequency standard <br>
CBIRF	chemical-biological incident response force <br>
CBLTU	common battery line terminal unit  <br>
CBMR	capabilities-based munitions requirements <br>
CBMU	construction battalion maintenance unit <br>
CBP	capabilities-based planning; Customs and Border Protection <br>
CBPO	Consolidated Base Personnel Office <br>
CBPS	chemical biological protective shelter <br>
CBR	chemical, biological, and radiological <br>
CBRN	Caribbean Basin Radar Network; chemical, biological, radiological, and nuclear <br>
CBRNE	chemical, biological, radiological, nuclear, and high-yield explosives   <br>
CBRT	chemical-biological response team <br>
CBS	common battery signaling <br>
CBT	common battery terminal <br>
CBTZ	combat zone  <br>
CBU	cluster bomb unit; conference bridge unit; construction battalion unit <br>
CBW	chemical and biological warfare <br>
CC	command center; component command (NATO)  <br>
CC&D	camouflage, concealment, and deception <br>
CCA	carrier-controlled approach; central contracting authority; circuit card assembly; container control activity; contamination control area; contingency capabilities assessment; contract construction agent<br>
CCAP	combatant command AFRTS planner <br>
CCAS	contingency contract administration services <br>
CCAS-C	contingency contract administration services commander  <br>
CCATT	critical care air transport team  <br>
CCB	Community Counterterrorism Board; Configuration Control Board <br>
CCC	ccoalition coordination cell; coalition coordination center; Combined Command Center (USSPACECOM); crisis coordination center; critical control circuit; crosscultural communications course <br>
CCD	camouflage, concealment, and deception <br>
CCDR	combatant commander  <br>
CCE	container control element; continuing criminal enterprise <br>
CCEB	Combined Communications-Electronics Board <br>
CCF	collection coordination facility <br>
CCG	crisis coordination group <br>
CCGD	commander, Coast Guard district <br>
CCIB	command center integration branch <br>
CCIP	continuously computed impact point <br>
CCIR	commander’s critical information requirement; International Radio Consultative Committee  <br>
CCIS	common channel interswitch signaling <br>
CCITT	International Telegraph and Telephone Consultative Committee <br>
CCIU	CEF control interface unit <br>
CCJTF	commander, combined joint task force  <br>
CCL	communications/computer link  <br>
CCLI	computer control list item <br>
CCO	central control officer; combat cargo officer; command and control office; complex contingency operation       <br>
CCOI	critical contact of interest <br>
CCP	casualty collection point; consolidated cryptologic program; consolidation and containerization point <br>
CCPDS	command center processing and display system <br>
CCRD	combatant commander’s required delivery date  <br>
CCS	central control ship; container control site <br>
CCSA	containership cargo stowage adapter <br>
CCSD	command communications service designator; control communications service designator  <br>
CCT	collaborative contingency targeting; combat control team <br>
CCTI	Chairman of the Joint Chiefs of Staff commended training issue <br>
CCTV	closed circuit television <br>
CCW	1980 United Nations Convention on Conventional Weapons; continuous carrier wave <br>
CD	channel designator; compact disc; counterdrug  <br>
CD-ROM	compact disc read-only memory <br>
CDC	Centers for Disease Control and Prevention <br>
CDE	collateral damage estimation <br>
CDF	combined distribution frame; contractors deploying with the force  <br>
CDI	cargo disposition instructions; conditioned diphase  <br>
CDIP	combined defense improvement project <br>
CDIPO	counterdrug intelligence preparation for operations  <br>
CDLMS	common data link management system  <br>
CDM	cable driver modem <br>
CDMGB	cable driver modem group buffer  <br>
CDN	compressed dial number <br>
CDO	command duty officer <br>
CDOC	counterdrug operations center <br>
CDOPS	counterdrug operations  <br>
CDP	commander’s dissemination policy; landing craft air cushion departure point <br>
CDR	commander; continuous data recording <br>
CDRAFSOF	commander, Air Force special operations forces <br>
CDRARNORTH	Commander, US Army North <br>
CDRCFCOM	Commander, Combined Forces Command <br>
CDRESC	commander, electronic security command <br>
CDREUDAC	Commander, European Command Defense Analysis Center (ELINT) or European Data Analysis Center <br>
CDRFORSCOM	Commander, Forces Command <br>
CDRG	catastrophic disaster response group (FEMA)  <br>
CDRJSOTF	commander, joint special operations task force <br>
CDRL	contract data requirements list <br>
CDRMTMC	Commander, Military Traffic Management Command  <br>
CDRNORAD	Commander, North American Aerospace Defense Command <br>
CDRTSOC	commander, theater special operations command  <br>
CDRUNC	Commander, United Nations Command <br>
CDRUSAINSCOM	Commander, United States Army Intelligence and Security Command  <br>
CDRUSCENTCOM	Commander, United States Central Command  <br>
CDRUSELEMNORAD	Commander, United States Element, North American Aerospace Defense Command <br>
CDRUSEUCOM	Commander, United States European Command  <br>
CDRUSJFCOM	Commander, United States Joint Forces Command <br>
CDRUSNAVEUR	Commander, United States Naval Forces, Europe <br>
CDRUSNORTHCOM	Commander, United States Northern Command  <br>
CDRUSPACOM	Commander, United States Pacific Command  <br>
CDRUSSOCOM	Commander, United States Special Operations Command <br>
