##name	International Relations and Security Acronyms
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/07/01, 19:57
##author	Hans Johnsson
##email	Oblomov@home.se
##description	Acronyms on International Relations and Security <BR>Sources amongst others: <BR>NATO Handbook: Appendix 7  - Abbreviations in Common Use
##browsingEnabled	
##bgl_creationTime	2001/05/14, 15:49
247B1810.bmp	File: 247B1810.bmp
ARPN	Aircraft and Related Procurement, Navy
ARR	Allocated Requirements Review; Allowance Requirements Register
ARRC	ACE Rapid Reaction Corps
ARRCOM	Armament Readiness Command (Army)
ARS	Analysis and Reporting System (formerly PMS); Salvage Ship; Aerial Refueling System
ARSR	Automatic Range Surveillance System Radar
ARSS	Average Rank Shift Sum
ARSSS	Automated Ready Supply Stores System
ARTS	Automated Remote Tracking Station (AF)
Arty	Artillery
ARV	ARMORED RECONNAISSANCE VEHICLE
ARW	Advanced Research Workshop (NATO Science Programme)
ARWG	Acquisition Reform Working Group (104th Congress)
AS	Approved Source; Submarine Tender; Analysis System; Aerospace Standard; Anti-Spoofing; Aviation Support Equipment Technician
AS/QVPL	Approved Source/Quality Verified Parts List
ASA	American Standard Association; Aspect Angle
ASAC	Antisubmarine Air Controller
ASAP	Aerospace Safety Advisory Panel (NASA's)
ASAPR	Accelerated Strike Aircraft Program Requirements
ASAR	Advanced Surface-to-Air Missile; Air Search Acquisition Radar
ASARS	Advanced Synthetic Aperture Radar System
ASAS	All Source Analysis System (USA)
ASAT	Anti-Satellite
ASBCA	Armed Services Board of Contract Appeals
ASBCOS	Assembly Cost
ASBISS	Assembly Storage Space
ASC	Aircraft Service Change; Advanced Systems Concept
ASCAC	Anti-Submarine Classification and Analysis Center
ASCAT	Antisubmarine Classification Analysis Team
ASCII	American Standard Code for Information Interchange
ASCM	Anti-Ship Cruise Missile
ASCS	Advanced Satellite Control System
ASCTS	At Sea Combat Training System
ASCU	Air Support Control Unit; Armament Station Control Unit
ASD	Activity Support Date; Aircraft Statistical Data; Assistant Secretary of Defense; Aeronautical Systems Division (AF)
ASDIC	Anti-Submarine Detection Investigation Committee
ASDR	Automatic Surface Detection Radar
ASEAN	Association of Southeast Asian Nations
ASG	Assistant Secretary General
ASHARE	American Society of Heating, Refrigerating, and Air Conditioning Engineers
ASI	Authorized Shipping Instructions; Automated Shore Interface; Additional skill Identifier
ASIC	Application Specific Integrated Circuits
ASIDE	Associated Support Items of Equipment
ASIM	Aircraft/Stores Interface Manual
ASIMS	Air Staff Information Management System
ASIS	Amphibious Support Information System
ASL	Authorized Stockage List
ASLCM	Advanced Sea-Launched Cruise Missile (USN)
ASM	Air-to-surface missile
ASMD	Anti-Ship Missile Defense
ASME	American Society of Mechanical Engineers
ASMRA	Adjustment of Scheduled Maintenance Requirements through Analysis Program
ASMS	Advanced Strategic Missile Systems (USAF)
ASMU	Aeronautical Matrix Screening Unit
ASN	Assistant Secretary of the Navy
ASN (RE&S)|ASN	Assistant Secretary of the Navy Research, Engineering &amp; Systems
ASN (S&L)|ASN	Assistant Secretary of the Navy (Shipbuilding and Logistics)
ASO	Navy Aviation Supply Office; Aviation Support Office
ASOC	Air Support Operations Center
ASOJ	Anti-Standoff Jammer
ASOW	Anti-Ship Standoff Weapon
ASP	Aspect
ASPA	Aircraft Service Period Adjustment
ASPC	Aerojet Solid Propellant Company
ASPIRE	Automatic Status of Purchase Information Recorded Electronically
ASPJ	Airborne Self-Protection Jammer
ASPR	Armed Services Procurement Regulations (Defunct)
ASQC	American Society for Quality Control
ASR	Air Surveillance Radar; Assembly Service Record; Submarine Rescue Ship; Assault Support Point
ASRAAM	Advanced Short-Range Range Air-to-Air Missile
ASROC	Anti-Submarine Rocket
ASRT	Air Support Request
ASSD	Avionics Systems Support Division; Avionics Systems Support Department
ASSP	Army Secondary Stock Point
ASSR	Airborne System Support Requirement
ASSW	Application Support Software
ASSY	Assembly
Ast	Nav Shipyard (Astilleros Navales)
ASTE	Armament System Test Equipment
ASTM	American Society for Testing and Materials
ASTOR	Anti-Submarine Torpedo (Mk 45 torpedo; discarded)
ASU	Approval for Service Use; Administrative Screening Unit
ASUTAA	Acoustic System Upgrade To ASW Aircraft (P-3)
ASUW	Anti-Surface Warfare
ASV	Antisurface Vessel (radar)
ASW	Anti-Submarine Warfare
ASW/SOW	Anti-Submarine Welfare/Stand-off Weapon
ASWEPS	Antisubmarine Warfare Environmental Prediction System
ASWOC	ASW Operations Center
ASWT	Assembly Shipping Weight
AT	Anti-Tank
ATA	Atlantic Treaty Association <BR> <BR><I>Voluntary associations affiliated to the Atlantic Treaty Association (ATA) support the activities of NATO and of individual governments to promote the objectives of the North Atlantic Treaty. <BR>The objectives of the Atlantic Treaty Association are: <BR>(a) to educate and inform the public concerning the aims and goals of the North Atlantic Treaty Organisation; <BR>(b) to conduct research in the various purposes and activities related to the Organisation; <BR>(c) to promote the solidarity of the peoples in the North Atlantic area; <BR>(d) to develop permanent relations and cooperation between its national member committees or associations. <BR>An Atlantic Education Committee (</I><A href='bword://AEC'>AEC</A><I>) and an Atlantic Association of Young Political Leaders (</I><A href='bword://AAYPL'>AAYPL</A><I>) are active in their own fields.</I> <BR>
ATAAM	Advanced Tactical Air-to-Air Missile
ATAC	Antiterrorist Alert Center
ATACC	Advanced Tactical Air Command Central
ATACMS	Army Tactical Cruise Missile System
ATAP	Average Time Awaiting Parts
ATAR	Advanced Tactical Air Reconnaissance System
ATARS	Advanced Tactical Air Reconnaissance System (USAF)
ATB	Advanced Tactical Bomber
ATBM	Anti-Tactical Ballistic Missile
ATC	Air Training Command (USAF)
ATCF	Air Traffic Control Facility
ATCRBS	Air Traffic Control Radar Beacon System
ATD	Advanced Technology Demonstration
ATDR	Aeronautical Technical Directive Requirements
ATDS	Airborne Tactical Data Systems
ATE	Automatic Test Equipment; Automated Test Equipment
ATF	Advanced Tactical Fighter (AF); Ocean Tug
ATFR	Advanced Terrain Following Radar
ATGM	Anti-Tank Guided Missile
ATGW	Anti-Tank Guided Weapon
ATHS	Airborne Target Handover System (USA)
ATI	Automated Technical Information; Average Total Inspection; Active Transfer Initiate
ATIDS	Airborne Tactical Data System
ATIGS	Advanced Tactical Inertial Quidance System
ATIMS	Airborne Tactical Information Management System
ATIP	Aviation Training Improvement Program
ATIS	Advanced Telemetry Instrumentation System; Airport Terminal Information System
ATKRON	Attack Squadron
ATLAS	Abbreviated Test Language for All Systems
ATM	Anti-Tactical Missile
ATO	Airborne Tactical Officer
ATOS	Automated Technical Order System (AF) (now AFIOMS)
ATP	Allied Tactical Publication <BR> <BR>Authorization to Proceed<BR>
ATR	Ammunition Transaction Report; Automated Transaction Report; Ammunition Transaction Record
ATS	Automatic Test Set/System; Air Tracking System; Aircrew Training System, Salvage and Rescue Ship
ATSA	Advanced Tactical Support Aircraft (USN)<BR><A href='http://www.periscope.ucg.com/terms/t0000056.html'> </A><BR>
ATSDR	Agency for Toxic Substance and Disease Registry
ATSS	Aviation Training Support System
ATT	Advanced Tactical Transport; Attenuator
ATTD	Advanced Technical Transition Demonstration
ATTLEBORO	Vietnam large-scale offensive operation in III Corps Tactical Zone in the fall of 1966
ATTMA	Advanced Technology Transport Mission Analysis
ATTR	Average-Time-To-Repair
ATTS	Automated Test Technology Standards
ATU	Airspeed Transducer Unit
ATV	Aerodynamic Test Vehicle
ATW	Authorized to Work
ATWS	Automatic Track While Scan
AUDACIOUS	Korean War (12 April 1951) Eighth Army plan for an orderly withdrawal
AUL	Authorized Use List
AUOL	Age Unfilled Order List
AUR	All-Up-Round
AURC	All-Up-Round Container
AURT	All-Up-Round Tester
AURTG	All-Up-Round Test Group
AUSA	Association of the US Army
AUSLADUNG	World War II German secondary attack designed to extend the Tunis bridgehead in the north as part of Operation <A href='bword://OCHSENKOPF'>OCHSENKOPF</A>
AUTEC	Atlantic Undersea Test and Evaluation Center (USN)<BR><A href='http://www.periscope.ucg.com/terms/t0000057.html'> </A><BR>
Author.	Authorized
AUTODIN	AUTOMATIC DIGITAL NETWORK
AUTOSEVOCOM	Automatic Secure Voice Communication
AUTOVON	Automatic Voice Network (See DSN)
AUV	Autonomous Underwater Vehicle
AUW	Advanced Undersea Weapon
AUWC	Advanced Undersea Weapon Circuitry
AUXMEA	Auxiliary Maintenance Engineering Analysis
AV	Aviation (USN qualification)
AV/WEPS	Avionics/Weapons
AV3M	Aviation Maintenance and Material Management
AVALANCHE	World War II (9 September 1943) invasion of Italy at Salerno
AVB	Avionics Bulletin
AVC	Avionics Change
AVCAL	Aviation Consolidated Allowance List
AVCO	Active Voltage Controlled oscillator
AVDLR	Aviation Depot Level Repairable
AVE	Aerospace Vehicle Equipment
Avg	Average, normal
AVGFE	Aviation Gas Free Engineering
AVIP	Avionics Integrity Program
AVLB	ARMORED VEHICLE-LAUNCHED BRIDGE
AVLETS	Air Vehicle Launch Equipment Test Set
AVM	Guided Missile Ship
AVMI	Automated Video Maintenance Information System
Avn	Avaition
AVO	Avionics Officer
AVP	Advanced Video Processor
AVR	Aviation Rescue Boat
AVSCCM	Army Aviation Systems Command
AVT	Auxiliary Aircraft Landing Training Ship
AW	Amphibious Warfare
AWACS	Airborne Warning and Control System
AWARS	Airborne Weapons Analysis Reporting System
AWC	Air Weapon Change; Airborne Weapons Change
AWCAP	Airborne Weapons Corrective Action Program
AWCLS	All-Weather Carrier Landing System
AWCRE	Airborne Weapons Control and Release Equipment
AWD	Air Weapons Department
AWE	Airborne Weapon Bulletin
AWG	Air Weapons Guidance
AWIS	Airborne Weapons Information System
AWM	Awaiting Maintenance
AWP	Allied Weather Publication
AWPU	Awaiting Parts Unit
AWS	Air Weather Service (USAF)
AWSE	Armament/Weapon Support Equipment
AWSEP	Armament/Weapons Support Equipment Program
AWSM	Automated Weapons System Management
AWTU	Air Weapons Training Unit
AWWG	Amphibious Warfare Working Group
AWWS	Airborne Weapons Workload Schedule
AXE	Gulf War code name for an XVIII Airborne Corps phase line
AXIOM	World War II code name for the mission sent to London in February 1944 to urge <A href='bword://CULVERIN'>CULVERIN</A>
AYC	Accessory Change
AYE	Accessory Bulletin
AZ	Azimuth
B-H	Bosnia-Herzegovina
B/L	Bill of Lading
B/N	Bombardier/Navigator <BR><BR>
BA	Budget Activity; Budget Authority
BACE	Basic Automatic Checkout Equipment
BACKHANDER	World War II code name for the task force to conduct operations on Cape Gloucester on the island of New Britain
BAe	British Aerospace
BAFO	Best and Final Offer
BAI	Battlefield Air Interdiction (USAF)<BR>
Ballistite	<A href='bword://Explosive'>Explosive</A>, Ballistite is a double-base <A href='bword://smokelesspowder'>powder</A> used as a rocket propellant. It is composed of two explosive substances, nitrocellulose and nitroglycerin, blended together with diphenylamine, which acts as a stabilizer. It burns with a considerable amount of flash and smoke, and generates a great volume of gas. Ballistite burns progressively, but at a rate dependent upon the composition and physical characteristics of the powder grain, the temperature of the powder grain before ignition, and the pressure during reaction. It is produced in various shapes to fit the rocket motor housing. <BR> <BR>Basically, solid propellant charges, such as Ballistite, may be grouped under one of two types- restricted-burning and unrestricted burning. <BR> <BR>A restricted-burning charge has some of its exposed surfaces covered with an inhibitor to control burning. By this procedure, burning can be restricted to take place only on the desired surface or surfaces. Controlling the burning area in this manner lengthens burning duration and determines the combustion chamber pressure for a given charge. A burning cigarette is a good example of restricted-burning, if you consider the paper-covered portion as representing the inhibited area. <BR> <BR>Unrestricted-burning charges are permitted to burn on all surfaces simultaneously. Relatively speaking, the unrestricted type of grain delivers a large amount of thrust for a short period of time, and the restricted type of grain yields a smaller amount of thrust for a longer period of time.
BALTAP	Allied Forces Baltic Approaches
BALTDEFCOL|BDCOL	The Baltic Defence College in Tartu, Estonia <BR>Also called BDCOL <BR> <BR>Homepage: <A href='http://www.bdcol.ee/'>http://www.bdcol.ee/</A>
BAM	Base Aerea Militar
BAN	Base Aeronavale
BANANA	Gulf War phase line for 1st Armored Division movement from Tactical Assembly Area <A href='bword://THOMPSON'>THOMPSON</A> to Forward Assembly Area <A href='bword://GARCIA'>GARCIA</A>
BAOR	British Army On the Rhine<BR><A href='http://www.periscope.ucg.com/terms/t0000063.html'> </A><BR>
BARBAROSSA	World War II (1941) German offensive against the USSR
BARCAP	Barrier Combat Air Patrol
BARCLAY	World War II plan to induce the Axis to give priority to maintaining and reinforcing its forces in southern France and the Balkans
BARJAM	Barrage Jammer
BARRACUDA	World War II plan (cancelled) for an airborne and amphibious assault on Naples
BARSTUR	Barking Sands Tactical Underwater Range
BASIC	Beginners All-Purpose Symbolic Instruction Code
BAT	Boresight Alignment Tool; Ballistic Aerial Target; Best available technology
BATAE	Best available technology economically achievable
BATDD	Battlefield Automation Technical Data Directorate
BATIS	Basic Air Training Information System
BATS	Ballistic Aerial Target System
BATV	Ballistic Aerodynamic Test Vehicle
BAYTOWN	World War II (3 September 1943) British invasion of Italy at Reggio di Calabria mounted from Sicily
BB	Boatbuilding
BBDL	Basic Binary Disk Loader
BBG	Battleship Battle Group
BCB	Battery Switchboard
BCCB	Base Configuration Control Board
BCD	Binary Coded Decimal; Bad Conduct Discharge
BCE	Baseline Cost Estimate
BCM	Beyond Capability of Intermediate Maintenance
BCNR	Board for Correction of Naval Records
BCR	Bar Code Reader
BCS	battery computer system
BCT	Best conventional technology
BDA	Bomb Damage Assessment; Battle Damage Assessment
BDAT	Battle Damage Assessment Team (Navy)
Bde	Brigade (USA)
BDK	BOL'SHOY DESANTNYY KORABL'
BDSR	Below Depot Scrap Rate
BDTSS	Bullseye Data Transfer Subsystem
BDU	Bomb, Dummy Units, Aircraft, Simulated, Unit
Be	Beriev (Soviet aircraft designation)<BR><A href='http://www.periscope.ucg.com/terms/t0000069.html'> </A><BR>
BENESUG	Beneficial Suggestion
BER	BIT Error Rate; Beyond Economic Repair
BERLIN	Gulf War VII Corps phase line
BERP	British Experimental Rotor Programme
BETA	World War II plan to open a port on the coast of China
BEU	Battery Emergency Unit
BFC	Battle Force Capable
BFDL	Blue Force Data Link
BFIT	Battle Force In-Port Training
BFO	Best &amp; Final Offer
BFPRB	Budget, Funding, and Procurement Review Board
BFRL	Basic Facilities Requirements List
BFTS	Bomber-Fighter Training System
BFV	Bradley Fighting Vehicle
BFVS	Bradley Fighting Vehicle System
BG	Battle Group
BGAAWC	Battle Group Anti-Air Warfare Coordinator
BGM	Multiple Platform Missile
BGPHES	Battle Group Passive Horizon Extension System
BGU	Basic Generation Unit
bhp	Brake Horsepower
BI	Background Investigation
BICES	Battlefield Information Collection and Exploitation System
BIDS	Biological Integrated Detection System
BIG STICK	Korean War plan to destroy the Communist supply complex based on Sibyon-ni, to advance the Eighth Army left flank to the Yesong River, and to regain Kaesong
BIG SWITCH	Korean War
BiH	Bosnia and Herzegovina
BII	Basic Issue Item
BIIL	Basic Issue Items List
BIL	Bulk Items List
BIN	Binary
BIS	Board of Inspection and Survey
BIST	Built-In-Self-Test; built-in Systems Test
BISTEP	Binary Stream
BIT	Built-In-Test
BITE	Built-In Test Equipment
BIW	Bath Iron Works, Maine
BJM	Budget Justification Materials
BKEP	Boosted Kinetic Energy Penetrator<BR><A href='http://www.periscope.ucg.com/terms/t0000073.html'> </A><BR>
BL	Base Locator; Baseline
BLACK	Pre-World War II plan to occupy Dakar
Black Powder|blackpowder	Black powder is a low <A href='bword://explosive'>explosive</A>, composed essentially of a mixture of potassium nitrate or sodium nitrate, charcoal, and sulfur. It is hydroscopic and subject to rapid deterioration when exposed to moisture. It is also one of the most dangerous explosives to handle because of the ease with which it is ignited by heat, friction, or spark. <BR> <BR>Although the use of black powder as a propellant and as a projectile bursting charge has ceased, it remains an explosive that will be encountered in ammunition and ammunition components. <BR> <BR> <BR>
