##name	Gali's Gastronomical Glossary
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_lastUpdated	2005/12/18, 13:50
##bgl_middleUpdated	2005/12/18, 13:50
##author	Gali
##browsingEnabled	
##bgl_creationTime	2003/04/20, 11:15
##description	English-Hebrew
##purchaseAddress	
Buckwheat|Kasha|ëåñîú|÷àùä	כוסמת (גרגירי פרי, על אף שנוהגים לחשוב שהיא דגן)<BR>עשיר באשלגן, מגנזים, זרחן, ברזל, כולין וויטמינים (B-1, B-2 ו- E)\nמכונה גם קאשה.
Buffaloe|Bufalo|Buffalo|buffaloes	תאו, בופאלו
Buffet|bufet	מזנון חופשי, בופה
Brut|broot	ציון / סממן לרמת היובש של שמפניה. לעיתים משתמשים במילה זו בהתייחסות לשמפניה מהולה במעט ליקר/אלכוהול\nוגם שם תואר : לא מתוק/לא ממותק (יין) או גלמי, גס
Dry Wine|SEC|dry wines|sek	יין יבש המכיל מעט סוכר ענבים, SEC בצרפתית
Bulb|balb|bulbs	פקעת, בולבוס, גבעול מעובה מתחת לאדמה, סוג של בצל
Bully beef|bully beef|bullybeef	"בוליביף" - בשר משומר (למשל לוף)
Bumbu|Boombu|boomboo	ממרח תבלינים אינדונזי בדרגות חריפות שונות<BR>לרב מכיל בצל, צ'ילי ושום. בנוסף, למון-גראס, גלנגל, ג'ינג'ר ועלי דפנה.
Bun|ban|buns	לחמניה מתוקה
Bunches|banches|bunch	צרור, אשכול
Bundle|bundle|bundles	אגד, חבילה
Bunuelos|Bunuelo	קינוח מקסיקני - סופגניות מתוקות מטוגנות המזוגגות בסירופ מייפל+סוכר חום או סוכר קינמון
Burdock|burdock|gobo	צמח בעל תרמיל דביק
Burghul|bulghur|bulgur|burghul|wheat groats|wheatgroats|áåøâåì	בורגול (דגן)
Burgoo|Kentucky burgoo|burgout	הכינוי של מלחים ל"דייסת קמח שיבולת שועל"
Burn|burning|burnt	(פ') לשרוף, לבעור, לצרוב, לחרוך<BR>(ש'ע) בעירה, כוויה
Butter	חמאה<BR>(פ') למרוח בחמאה, לשמן בחמאה
Butteredheas|butteredheas	סוג של חסה
Butterfish|atlantic moonfish|carangid|carangid fish|dollarfish|horse-head|horsefish|horsehead|moonfish	דגיגי מאכל כסופים בעלי גוף שטוח (מקורם בחוף האטלנטי)
Buttermilk|buttermilk	חלב-חמאה (הנוזל שנותר לאחר שהחמאה הופרדה מהחלב\\שמנת.
Butternut|butter nut|butternut	אגוז חמאה אמריקאי, אגוז מלך לבן
Buttery	חמאתי
Cabbage|Cabbages|ëøåá|ëøåáéí	כרוב
Cacciatore|cacciatore	קצ'טורה (איטלקית) - כל מנה עיקרית ברוטב עגבניות, פטריות ותבלינים
Cachaca	קשסה (משקה חריף נטול צבע)<BR>רום ברזילאי העשוי מקני סוכר - קוקטייל קלאסי המופק ממנו : קפירינייה (קשסה עם לימונים וסוכר)
Cacik|cacik	צזיקי - מרק יוגורט ומלפפונים קר
Caciocavallo|caciocavallo	קשקבל, קצ'קבל (גבינה צהובה קשה בעלת טעם ייחודי, עדין ומעט מלוח)
Caipirinha	קפיריניה - הקוקטייל הלאומי של ברזיל : ליים/לימון, סוכר, קשסה וקרח גרוס
Caipiroska	קוקטייל (פרפרזה לקפירינייה) - ליים/לימון, סוכר, וודקה וקרח כתוש
Caipiruka	קוקטייל (פרפרזה לקפירנייה) - ליים/לימון, סוכר, טקילה וקרח כתוש
Cajun	סוג של תערובת תבלינים ייחודית
Cake|cakes	עוגה או חתיכה/גוש בעל צורה מוגדרת<BR>(פ') לכסות ע"י מריחה, להקריש
Cake fork|cake fork|cakefork	מזלג לעוגה (מזלג קטן)
Calabash|West Indian pumpkin|calabaza|ãìòú	דלעת (ירק)
Caldillo	נזיד מקסיקני של בשר, תפו"א וצ'ילי<BR>
Caldo	ציר, מרק צח, רוטב על בסיס נטפי שומן של בשר
Calf|Calfs	עגל
Calvados|calvados	ברנדי תפוחים מנורמנדי (ליקר אלכוהולי)
Calyx	גביע של פרח
Calzone	קלזונה ("האמפנדה" של האיטלקים)<BR>עיגול בצק פיצה שמקופל לחצי, ממולא ומהודק - אפוי או מטוגן.
Camembert|Camember	קאמאמבר - גבינה צרפתית עתירת שומן בעל ציפוי נוקשה של עובש ורכה יותר בפנים
Camomile|Camomille|Chamomilla|camomile	בבונג, קמומיל (צמח מרפא)
Campari	קמפרי (משקה איטלקי חריף) - אפרטיף מריר בצבע אדום. הגשה אופיינית : קמפרי + מיץ תפוזים
Can|cans	קופסת שימורים
Canapes|Canape|canap?|entremesas	(מצרפתית) מתאבן - הקלאסיים מוגשים על בסיס של טוסטונים\\קרקרים<BR>בספרדית מתאבנים קרויים : <B>entremesas</B><BR>
Canard|canard	ברווז (צרפתית)
Candlenut|Candlenuts	סוג של אגוז עגול רווי שמנים בעל צבע שמנתי
Canned	משומר, מקופסת שימורים
Canned beef|canned-beef|cannedbeef	לוף
Cannelloni	קנלוני - צינורו פסטה גודלים ועבים למילוי
Cannoli	קנולי - קינוח סיציליאני דמוי צינור<BR>מדובר בבצק מתוק המטוגן בשמן עמוק
Canola oil|lear oil|rapeseed oil|ùîï ÷ðåìä	שמן קנולה
Cantaloupe|CANTALOUPE	סוג של מלון בעל בשר כתום
Cao Cao|CaoCao	"קעו קעו" - עוגיות בוטנים<BR>
Cap|cap	מכסה, כובע, כיפה, פקק<BR>(פ') לשים מכסה, לכתר
Capellini|Angel hair|Angel hairs|Angelhairs|Capelli di angelo|Fine Hairs	קפליני - "שערות" עדינות ודקות של פסטה. מתאימות לרטבים עדינים וקלילים.
Capers|caper|capers|öìôéí	צלפים
Capicolla	סוג של נקניקניה איטלקית
Capirotoda	פודינג-לחם מקסיקני עם צימוקים, אגוזים, גבינה, סירופ קינמון וסוכר חום
Cappuccino	קפוצ'ינו - קפה אספרסו עם חלב חם מוקצף
Caprini	גבינת עיזים איטלקית המגיעה בגליל
Capsicum|capsicum	צמח הפלפלת
Carambola|Star fruit|Starfruit	קרמבולה (פרי)<BR>פרי טרופי צהבהב ירקרק מחומש
Caramel	קרמל, שזף סוכר<BR>וגם סוג של ממתק רך עשוי סוכר חמאה וחלב
Caramelized|Caramelize	מצופה בקרמל (שזף סוכר)<BR>(פ') להפוך לקרמל, לעשות לקרמל
Caraway|k?mmel|kuemmel|kummel|÷éîì	קימל, כרויה (תבלין)<BR><B>kuemmel</B> - ליקר מתוק נטול צבע מתובל בקימל, כמון ושומר<BR>
Carciofi	מנה ראשונה סיציליאנית של ארטישוקים
Cardamon|Cardamome|Kardamom|cardamom|cardamomo	הל (תבלין)
Carob	חרוב (פרי)
Carp	קרפיון (דג מאכל)
Carpaccio	קרפצ'יו<BR>במקור מדובר בפרוסות דקיקות ("בעובי נייר") של בשר בקר נא ברוטב שמנתי. לאחרונה המושג מתאר ירקות, בשרים נאים או מעושנים ודגים החתוכים דק דק.
Carrageen|Irish moss|Irishmoss	
Carrot|carot|carrots|âæø	גזר
Carrots a la Vichy|Carrots ? la Vichy|Vichy carrots|carrots a la Vichy|vichy	חתיכות דקות של גזרים שבושלו על חום נמוך בסיר סגור עם מעט מים, חמאה וסוכר עד לריכוך. בהגשה מעוטרים בפטרוזיליה קצוצה.
Cartoccio	מונח מעולם הבישול שכוונתו: אפיית דגים מטובלים בנייר פרגמנט.<BR>
Carve|carve|carved|carving	(פ') לחתוך, לפרוס
Cascabel	זן של פלפל צ'ילי אדום מיובש דמוי-שזיף בעל טעם עשיר ודרגת חריפות בינונית
Casein	קזיאין = חלבון חלב
Cashew	אגוזי קשיו<BR>מכיל סידן, בטה קרוטין, ברזל, זרחן, וויטמינים (ויטמין סי, 1-B, 2-B ו- 3-B) וחלבון.<BR>
Casquinha de Siri	מנה ברזילאית - שריוני סרטן ממולאים
Cassava|casabe|cassava|mandioca|manioc|manioca	קסבה (צמח טרופי שמשורשו מפיקים עמילן)
Casserole|caserol|caserole|casserol|àìôñ	קדירה, תבשיל<BR>כלי אפיה מזכוכית או חרס.גם סיר קטן.
Cassia|Bastard cinnamon|Casse|Chinese cassia|Chinese cinnamon	קציעה, כסיה (צמח מאכל) מכונה "קינמון סיני"<BR>
Cassis|cassis	קסיס, זן של דומדמנית אדומה כדם
Cassoulet	מנה צרפתית של שעועית לבנה ובשר חזיר אפויים
Caster	(ש"ע) זורה, כלי לבזיקת פלפל\\מלח למשל
Castor Oil|CastorOil	שמן קיק
Catfish|Cat fish|hogfish	שפמנון (דג מאכל)
Cats' tongues|cats tongues|cats' tongue|langues de chat|langues-de-chat|languesdechat	
Cauliflower|cauliflowers|coliflower|koliflower|ëøåáéú	כרובית (ירק תפרחתי)
Caviar|Caviars	קוויאר (ביצי דג ממשפחת החידקן)
Cawl|cawl	מרק, מרק צח (אירלנד)
Cay-mak|Caymak|kaimaki|kaymak	קאיימק - מעדן המופק משומן חלב, המקבילה המזרח תיכונית לקרם דבון.<BR>מחממים בעדינות חלב (לרב של עיזים) עד אשר קרום עשיר חצי קשה מכסה את הנוזל. מקררים. לאחר קירור לרב משתמשים בשכבה זו כממרח ללחם.<BR>
Cayenne|cayenne pepper|cayennepepper	סוג של פלפל אדום (תבלין)
Celery|Apium|Apium graveolens|Celer|Celeriac	סלרי, כרפס (ירק המשמש רבות לתבלון, מגיע גם כתבלין יבש בצורת גרעיני סלרי)
Cellulose	תאית, צלולוזה
Cereals|cereal|cereals	דייסה מדגן, תבואה, "קורנפלקס" לסוגיו
Cervelat|cervelats	סרבלט - סוג של נקניק משובח
Chamomile	בבונג, קמומיל
Champagne|Champain	שמפניה (יין לבן תוסס)\nהשמפניות המובחרות מיוצרות מענבים שחורים מאזור REIMS וענבים לבנים מאזור EPERNAY. תהליך הייצור דומה לשל יין אלא שבתהליך הפרמנטציה (חימוץ) מתסיסים הענבים עם סוכר, סירופ ושמרים (משקע שאחר כך מוצא). שנות הייצור שנחשבות ליוצאות מן הכלל הן 1926, 1928, 1929, 1943ת 1945 ו- 1947. השנים 1933 ו - 1934 נחשבות לטובות מאוד.\n\nChao main|chao main|chaomain\nאטריות מטוגנות
Chard|rhubarb chard	עלי סלק
Charlotte|charlotte|charlottes	פודינג מבצק ופירות אפוי בתנור
Charred|char	(פ') לחרוך, לצרוב, להשחים
chardonnay|chardone|chardonne	שרדוניי - סוג של יין לבן וגם שמם של הענבים ממנו מיוצר.
Chartreuse	משקה חריף על בסיס ברנדי, דבש ותבלינים<BR>מגיע בצבעים ירוק וצהוב.<BR>ירוק - בעל יותר אחוזי אלכוהול<BR>צהוב - מתובל בתפוזים והדסים
Chasseur Sauce|Chasseur|ChasseurSauce	רוטב פטריות ובצלצלים
Chateau|CHATEAU	שאטו - חיתוך בצורת חצי סהר (מתייחס בעיקר לתפו"א, מצרפתית)<BR>
Chatnee|chatnee	צ'אטני (רוטב הודי סמיך ריבתי על בסיס פירות)
Cheddar	צ'דר (סוג של גבינה קשה)
Cheese|cheeses|cheez|chese|chiz	גבינה<BR>לפי כללי המטבח הצרפתי מומלץ להגיש גבינות עם יין אדום חזק
Capitone|Capit?n|Capiton	צלופח  (נקבה) גדול - מנה איטלקית טיפוסית המוגשת מטוגנת או צלויה.
processed cheese	גבינה מותכת
omlette|omlete	אומלט, חביתה ממולאת
thrush|thrushes	קיכלי (ציפור שיר)
Robin|robins	אדום-החזה (ציפור)
Mantis shrimps|Canocchie|Mantis|Mantis shrimp|Squille|Squilles|squill|squills	מכונה גם squills - "חסילוני גמל שלמה" -
crucian carp|Carassin|Carassio|Carp?n|Karausche|crucian|german carp|gibel|prussian carp	זן של קרפיון אירופאי המכונה גם קרפיון גרמני, קרפיון איראסיאתי קטן\nהקרפיון הפרוסי  (גיבל) נחשב לזן של קרפיון זה או להכלאה בינו ךבין הקרפיון הפשוט.
gurnard|Capone|Cappone|Knurrhahn|Rubio|american gurnard|grondin|sea robin|sea robins	דג שניזון מקרקעית הים, בעל סנפירי חזה דמויי אצבעות וראש גדול וקוצני. נחשב למעדן. מכונה בארה"ב גם sea robin
blintzes|blinches|blintz|blintze	חביתיה, בלינצ'ה (מיידיש)
Coquina|Calcinelli|Coquinas|Telline|Tellines|Wedge shell|Wedge shells	סוג של צדפה קטנה הנפוצה במזרח ודרום ארה"ב
razor clam|Cannolicchi|Couteaux|Messerscheiden|Navajas|Razor shells|Razor-shells|jackknife clam|jackknife clams|razor clams|razorclam	"צדפת אולר" או "צדפת סכין-גילוח"
Cork	שעם, פקק\n(פ') לפקק, לסתום
still wine|stil|still wines	יין שאינו תוסס/מוגז
sparkling|sparkle	תוסס, מוגז (משקה); מבעבע\nנוצץ, מבריק\n(פ') -  לתסוס, לבעבע  וגם לנצוץ, לנצנץ, להבריק
Carafe|caraf|carafes|karaf	קרף, קנקן משקה, כד
corky|corkey|corki	של שעם, דמוי שעם
corky wine|corkey wine|corki wine|corky wines	יין "מקולקל" שטעמו מהול בשעם , מפקק שנרקב
cork screw|cork-screw|corkscrew	פותחן בקבוקים, חולץ פקקים
Cheesecake|cheese cake|cheese-cake|cheesecake|cheesecakes	עוגת גבינה
Cherries|cherries|cherry|ãåáãáï|ãåáãáðéí	דובדבנים (פרי)
Cherry|Chery|cheri	שרי (משקה חריף)
Chervil|Kervel	סוג של עשב מאכל,טעמו נע בין פטרוזיליה לאניס.
Chestnut|chestnuts|òøîåï|òøîåðéí	ערמונים
Chevre|Caprino	גבינת עיזים שמנה  ולבנה(לרב מגיעה בגליל)
Chicken|Chickens|úøðâåìú	תרנגולת, עוף
Chicken Stroganoff|Stroganoff	עוף סטרוגנוף - ואריאציה לורסיה הבשרית המקורית. עוף שטוגן בחמאה עם בצל ופטריות ואח"כ בושל בשמנת\\שמנת חמוצה.
Chickpea|chick pea|chick peas|chickpea|chickpeas	גרגרי חומוס
Chico|chico	פרי (מרכז אמריקה)<BR>בעל טעם המזכיר אגסים מבושלים. צורתו : כמו קיווי עגלגל.
Chicory|succory	עולש, אנדיב
Chiffon	שיפון
champignons|champi??n|champignon	פטריות שמפיניון
Celestine|celestin|selestin|selestine	מנה בסגנון סלסטין מוגשת בעיטור רצועות של בצק אוורירי
Chifonnadde|CHIFONNADDE	שיפונד - חיתוך גס של ירקות עלים (מצרפתית). <BR>
Chilaca|Chilacas	צ'ילקה - פלפל צ'ילי ארוך רזה ומתעקל הנע בצבעו מירוק כהה לחום בדרגת חריפות מתונה עד בינונית.
Chile|chile|chiles	פלפל מזן צ'ילי
Chilled|chill	מצונן, מקורר<BR>(פ') לצנן
Chimichanga|chimichanga	מאכל שמקורו בסונורה, מקסיקו - בוריטו עטוף בטורטיה ומטוגן
Chimichurri	צ'ימיצ'ורי - רוטב עשבי תיבול סמיך ארגנטינאי- מלנג' של שמן זית, חומץ ופטרוזיליה, אורגנו, בצל ושום קצוצים דק ומתובלים במלח, פלפל שחור וחריף. נהוג להגישו כרוטב לבשר על האש.
Chinese Cabbage|Brassica pekinensis|Hakusai|Peking cabbage|celery cabbage|napa cabbage|wong bok|wong nga pak|wongngapak	כרוב סיני (נראה כמו חסה בעלת עלים ירוקים בהירים בשרניים)
Chinese Five Spice powder|Chinese Five Spice|Five Spice|hung-liu|ng geung fun|ngung heung fun	תערובת תבלינים סינית ("תערובת חמשת התבלינים")<BR>כוכבי אניס, קסיה, ציפורן, שומר ופלפל סיצ'ואני.<BR>
Chinese broccoli|Chinesebroccoli|Gai lan|Gailan	ברוקולי סיני המכונה "גאי לאן"<BR>ירק סיני תפרחתי מתקתק בניחוח אגוזי ובטעם ברוקולי
Chipotle	חלפיניוס (זן של פלפל צ'ילי ירוק קטן) מעושנים ומיובשים
Chitterlings|chitterlings	מעי חזיר (מאכל)
Chives|Chive	עירית
Choclo|Choclos	קלח תירס (ספרדית)
Chocolate|Schokolade|chocolat|chocolate|cioccolata	שוקולד
Chocolate chips|chocolate chip|chocolate chips|chocolatechip|chocolatechips	שוקולד-צ'יפס (פתיתי שוקולד לעוגות)
Chocolate-chip cookie|Toll House cookie|chocolate chip cookie|chocolate-chip|chocolate-chip cookie|chocolatechip|chocolatechip cookie	עוגיית שוקולד צ'יפס
Cholent	חמין, צ'ולנט (תבשיל יהודי: נזיד בשר ותפו"א ומרכיבים נוספים המשתנים לפי עדות ו\\או מוצא)
Cholesterol free	נטול כולסטרול - תווית שמשמעה כי במזון זה יש פר מנת הגשה פחות משני (2) מיליגרם כלסטרול ו-2 גרם או פחות של שומן רווי
